unique_id,cluster,full_name,first_and_surname,first_name,surname,dob,birth_place,postcode_fake,gender,occupation
Q7149918-12,Q7149918,paul xolomiès,paul xolomiès,paul,xolomiès,1638-22-02,la rochelle,co15 4su,male,librarian
Q7149918-13,Q7149918,colomiès,colomiès,colomiès,,1638-12-02,la rochelle,,,librarian
Q7149918-14,Q7149918,pawel colomies,pawel colomies,pawel,colomies,,france,co15 4su,,
Q7149918-15,Q7149918,paul colomiès,paul colomiès,paul,colomiès,1638-12-02,la rochelle,,male,
Q7149918-16,Q7149918,paulo colomiès,paulo colomiès,paulo,colomiès,1638-12-02,la rochelle,co15 4su,male,
Q7149918-17,Q7149918,pablo colomiès,pablo colomiès,pablo,colomiès,,la rochelle,co15 4su,male,librarian
Q7149918-18,Q7149918,paul colomies,paul colomies,paul,colomies,,la rochelle,,female,philosopher
Q7149918-19,Q7149918,pauk colomiès,pauk colomiès,pauk,colomiès,,france,,,
Q7149918-20,Q7149918,paul colomies,paul colomies,paul,colomies,,la rochelle,,,
Q27919030-1,Q27919030,harry wallace,harry wallace,harry,wallace,1860-01-01,manchester,m40 1qx,male,painter
Q27919030-2,Q27919030,harry wallace,harry wallace,harry,wallace,1860-01-01,manchester,m40 1qx,male,painter
Q27919030-3,Q27919030,harry wallace,harry wallace,harry,wallace,1860-01-01,manchester,m40 1qx,male,painter
Q27919030-4,Q27919030,henry wallis,henry wallis,henry,wallis,1860-01-11,manchester,m40 1qq,,painter
Q27919030-5,Q27919030,harry wallis,harry wallis,harry,wallis,,manchester,,male,painter
Q7793204-1,Q7793204,thomas pollard,thomas pollard,thomas,pollard,1597-01-01,mendip,ba11 1bb,male,actor
Q7793204-2,Q7793204,thomas pollard,thomas pollard,thomas,pollard,1597-01-01,mendip,ba11 1bb,male,actor
Q7793204-3,Q7793204,tom pollard,tom pollard,tom,pollard,1597-01-21,mendip,ba11 1bb,male,actor
Q7793204-4,Q7793204,thomas pollard,thomas pollard,thomas,pollard,1597-01-01,mendip,ba11 1bb,,actor
Q7793204-5,Q7793204,thomas pollard,thomas pollard,thomas,pollard,1597-01-01,frome,ba11 1bb,male,actor
Q7793204-6,Q7793204,tom pollard,tom pollard,tom,pollard,1597-01-01,mendip,ba11 1bb,male,
Q7793204-7,Q7793204,thomas pollard,thomas pollard,thomas,pollard,1597-01-01,mendip,ba12 7jb,male,actor
Q7793204-8,Q7793204,thomas pollard,thomas pollard,thomas,pollard,1597-07-01,mendip,,male,actor
Q7793204-9,Q7793204,tom pollard,tom pollard,tom,pollard,1597-01-01,,ba11 1bb,male,
Q7793204-10,Q7793204,tom pollard,tom pollard,tom,pollard,,,ba11 1bb,male,actor
Q7793204-11,Q7793204,thomas poklard,thomas poklard,thomas,poklard,1597-01-04,mendip,,male,
Q7793204-12,Q7793204,thonas pollard,thonas pollard,thonas,pollard,1597-01-01,,ba11 1bb,male,
Q7793204-13,Q7793204,tom pollard,tom pollard,tom,pollard,1597-01-01,frome,ba11 1bb,,
Q7793204-14,Q7793204,thomas pollarc,thomas pollarc,thomas,pollarc,,mendip,,male,
Q7793204-15,Q7793204,pollard,pollard,pollard,,,mendip,ba11 1bb,,
Q7793204-16,Q7793204,tom pollard,tom pollard,tom,pollard,,mendip,ba1q 1bb,,
Q5015070-1,Q5015070,clarence m. leumane,clarence leumane,clarence,leumane,1845-01-01,welwyn hatfield,al7 4ef,male,
Q5015070-2,Q5015070,clarence m. leumane,clarence leumane,clarence,leumane,1845-01-01,welwyn hatfield,al7 4ef,male,
Q5015070-3,Q5015070,clarence m. leumane,clarence leumane,clarence,leumane,1845-01-01,welwyn hatfield,al7 4ef,male,
Q5015070-4,Q5015070,clarence m. leumane,clarence leumane,clarence,leumane,1845-01-01,welwyn hatfield,al7 4ef,male,
Q5015070-5,Q5015070,clarence leumane,clarence leumane,clarence,leumane,1845-01-01,welwyn hatfield,al7 4ef,female,
Q5015070-6,Q5015070,clarence leumane,clarence leumane,clarence,leumane,1845-01-01,welwyn hatfield,,male,
Q5015070-7,Q5015070,clarence leumane,clarence leumane,clarence,leumane,1845-01-01,welwyn hatfield,al7 4ef,male,
Q5015070-8,Q5015070,john leumane,john leumane,john,leumane,1845-01-01,welwyn hatfield,,male,
Q5015070-9,Q5015070,jack leumane,jack leumane,jack,leumane,1845-01-02,welwyn hatfield,,male,
Q5015070-10,Q5015070,clarence leumane,clarence leumane,clarence,leumane,1845-01-01,welwyn hatfield,al7 4ef,,
Q5015070-11,Q5015070,clarence,clarence,clarence,,1845-01-01,welwyn hatfield,,male,
Q5015070-12,Q5015070,clarence leumane,clarence leumane,clarence,leumane,1845-01-81,welwyn hatfield,al7 4ee,,
Q5015070-13,Q5015070,clarence leumane,clarence leumane,clarence,leumane,1845-01-01,welwyn hatfield,al7 ref,male,
Q5015070-14,Q5015070,clarence john leumane,clarence leumane,clarence,leumane,1815-01-01,,al7 4ef,male,
Q5015070-15,Q5015070,clarence leumane,clarence leumane,clarence,leumane,1845-00-01,welwyn hatfield,al7 4ef,female,
Q5015070-16,Q5015070,clarence leumane,clarence leumane,clarence,leumane,,welwyn hatfield,,male,
Q5015070-17,Q5015070,clarence jack leumane,clarence leumane,clarence,leumane,,welwyn hatfield,,,
Q28924099-1,Q28924099,arthur ceely,arthur ceely,arthur,ceely,1834-10-14,barnsley,s75 1ju,male,cricketer
Q28924099-2,Q28924099,arthur ceely,arthur ceely,arthur,ceely,1834-70-14,barnsley,s75 1ju,male,cricketer
Q28924099-3,Q28924099,arthur ceely,arthur ceely,arthur,ceely,1834-10-11,barnsley,s75 1ju,male,cricketer
Q28924099-4,Q28924099,artie ceely,artie ceely,artie,ceely,1834-10-14,barnsley,,male,cricketer
Q28924099-5,Q28924099,arth8r ceely,arth8r ceely,arth8r,ceely,1834-10-14,barnsley,s75 1ju,male,cricketer
Q28924099-6,Q28924099,arthur ceely,arthur ceely,arthur,ceely,1834-10-14,,s75 1ju,,
Q28924099-7,Q28924099,art ceely,art ceely,art,ceely,,,s75 1ju,male,cricketer
Q28924099-8,Q28924099,arthur ceely,arthur ceely,arthur,ceely,1834-10-14,barnsley,s75 1ju,male,cricketer
Q28924099-9,Q28924099,ceely,ceely,ceely,,1834-10-15,barnsley,s75 1ju,male,cricketer
Q28924099-10,Q28924099,arthur cedly,arthur cedly,arthur,cedly,,,s75 1hs,male,cricketer
Q28924099-11,Q28924099,art ceely,art ceely,art,ceely,1834-10-14,barnsley,s75 1ju,male,cricketer
Q28924099-12,Q28924099,artie,artie,artie,,1835-10-14,barnsley,s75 5hx,male,
Q28924099-13,Q28924099,artie ceely,artie ceely,artie,ceely,,,s75 1ju,female,cricketer
Q28924099-14,Q28924099,artie ceely,artie ceely,artie,ceely,1834-10-14,barnsley,,male,
Q28924099-15,Q28924099,artie ceely,artie ceely,artie,ceely,,barnsley,,,
Q28924099-16,Q28924099,art ceely,art ceely,art,ceely,1834-11-14,barnsley,,,
Q16855481-1,Q16855481,arthur caley,arthur caley,arthur,caley,1824-01-01,isle of man,gl55 6pn,male,
Q16855481-2,Q16855481,arthur caley,arthur caley,arthur,caley,1824-01-01,isle of man,gl55 6pn,male,
Q16855481-3,Q16855481,arthur caley,arthur caley,arthur,caley,1824-01-01,isle of man,gl55 6pn,male,
Q16855481-4,Q16855481,artie caley,artie caley,artie,caley,1824-01-01,isle of man,,male,
Q16855481-5,Q16855481,arthur caley,arthur caley,arthur,caley,1824-01-01,isle of man,gl55 6pn,male,
Q16855481-6,Q16855481,arthur caley,arthur caley,arthur,caley,,,gl55 6pn,male,
Q16855481-7,Q16855481,art caley,art caley,art,caley,,,gl55 6pn,male,
Q16855481-8,Q16855481,arthur caley,arthur caley,arthur,caley,1824-01-01,isle of man,gl55 6pn,,
Q16855481-9,Q16855481,artgur caley,artgur caley,artgur,caley,,isle of man,gl55 6pn,,
Q16855481-10,Q16855481,artie caley,artie caley,artie,caley,1824-01-01,isle of man,,male,
Q16855481-11,Q16855481,artie caley,artie caley,artie,caley,1824-01-01,isle of man,,male,
Q16855481-12,Q16855481,artie caley,artie caley,artie,caley,1824-01-01,isle of man,gl55 6js,,
Q8004274-1,Q8004274,william alexander kerr,william kerr,william,kerr,1831-07-18,melrose,dy4 8rp,male,
Q8004274-2,Q8004274,william kerr,william kerr,william,kerr,1831-07-18,melrose,dy4 8rp,male,
Q8004274-3,Q8004274,william kerr,william kerr,william,kerr,1831-07-18,melrose,dy4 8rp,male,
Q8004274-4,Q8004274,william alexander kerr,william kerr,william,kerr,1831-07-18,melrose,dy4 8rp,,
Q8004274-5,Q8004274,william kerr,william kerr,william,kerr,,melrose,dy4 8rp,male,
Q8004274-6,Q8004274,william alexander kerr,william kerr,william,kerr,,united kingdom,dy4 8rp,male,
Q8004274-7,Q8004274,william kerr,william kerr,william,kerr,1831-07-18,melrose,dy4 8rp,male,
Q8004274-8,Q8004274,v.c.,v.c.,v.c.,,1831-07-18,melrose,dy4 8rp,male,
Q8004274-9,Q8004274,william alexander kerr,william kerr,william,kerr,1831-07-18,melrose,dy4 8rp,male,
Q8004274-10,Q8004274,wiliam carr,wiliam carr,wiliam,carr,,melrose,dy4 8rp,,
Q8004274-11,Q8004274,william carr,william carr,william,carr,1861-07-18,united kingdom,dy4 8rp,male,
Q8004274-12,Q8004274,william alexander kerr,william kerr,william,kerr,1831-07-18,melrose,dy4 urp,male,
Q8004274-13,Q8004274,w. a. kerr,w. kerr,w.,kerr,,united kingdom,dyr 8rp,male,
Q8004274-14,Q8004274,kerr,kerr,kerr,,1831-07-18,,,male,
Q8004274-15,Q8004274,billy alex carr,billy carr,billy,carr,,united kingdom,,female,
Q8004274-16,Q8004274,william kerr,william kerr,william,kerr,1831-07-18,melrose,dy4 8rp,male,
Q8004274-17,Q8004274,,,,,,melrose,,male,
Q8004274-18,Q8004274,willie carr,willie carr,willie,carr,1831-87-18,united kingdom,,,
Q8004274-19,Q8004274,v.c.,v.c.,v.c.,,1837-07-18,melrose,dy4 8rp,male,
Q8004274-20,Q8004274,williams carr,williams carr,williams,carr,,melrose,dy4 8rp,male,
Q30234711-1,Q30234711,betty bentley beaumont,betty beaumont,betty,beaumont,1828-08-09,lancashire,pr3 3bq,female,autobiographer
Q30234711-2,Q30234711,betty bentley beaumont,betty beaumont,betty,beaumont,1828-08-09,lancashire,pr3 3bq,female,autobiographer
Q30234711-3,Q30234711,elizabeth beaumont,elizabeth beaumont,elizabeth,beaumont,1828-08-08,,pr3 3bq,,
Q3526548-1,Q3526548,frank sugg,frank sugg,frank,sugg,1862-01-11,ilkeston,de7 8af,male,association football player
Q3526548-2,Q3526548,frank sugg,frank sugg,frank,sugg,1862-01-11,ilkeston,de7 8af,male,association football player
Q3526548-3,Q3526548,francis sugg,francis sugg,francis,sugg,1862-01-11,ilkeston,de75 7dz,male,association football player
Q3526548-4,Q3526548,frank sygg,frank sygg,frank,sygg,1862-01-11,ilkeston,de7 8af,male,
Q3526548-5,Q3526548,sugg,sugg,sugg,,1862-01-11,ilkeston,de7 8af,male,association football player
Q3526548-6,Q3526548,francis sugg,francis sugg,francis,sugg,1862-01-71,,,male,cricketer
Q3526548-7,Q3526548,sugg,sugg,sugg,,1862-01-11,ilkeston,de7 8af,male,association football player
Q3526548-8,Q3526548,francis sugg,francis sugg,francis,sugg,,,de7 8af,male,
Q3526548-9,Q3526548,francis sugg,francis sugg,francis,sugg,1862-01-11,ilkeston,,,
Q3526548-10,Q3526548,francis sugg,francis sugg,francis,sugg,1862-01-01,,de7 8aq,,
Q7422812-1,Q7422812,sarah swift,sarah swift,sarah,swift,1854-11-22,kirton,pe20 1es,female,
Q7422812-2,Q7422812,sally swift,sally swift,sally,swift,1854-11-52,kirton,pe20 1es,female,
Q7422812-3,Q7422812,sarah swift,sarah swift,sarah,swift,1824-11-22,kirton,pe20 1es,female,
Q7422812-4,Q7422812,sarah swift,sarah swift,sarah,swift,1854-11-25,kirton,pe20 1es,female,
Q7422812-5,Q7422812,sarah swift,sarah swift,sarah,swift,,kirton,pe20 1es,male,
Q7422812-6,Q7422812,sara swift,sara swift,sara,swift,,,,,
Q7422812-7,Q7422812,swift,swift,swift,,1824-11-22,,,female,
Q18530939-1,Q18530939,vaughan cornish,vaughan cornish,vaughan,cornish,1862-01-01,lichfield,b78 3tw,male,
Q18530939-2,Q18530939,vaughan cornish,vaughan cornish,vaughan,cornish,1862-01-01,lichfield,b78 3tu,male,
Q18530939-3,Q18530939,vaughan cornish,vaughan cornish,vaughan,cornish,1862-01-01,lichfield,b78 3tw,,
Q18530939-4,Q18530939,vaughan cornish,vaughan cornish,vaughan,cornish,1862-01-01,lichfield,b79 3tw,male,
Q18530939-5,Q18530939,vaughan cornish,vaughan cornish,vaughan,cornish,1865-01-01,lichfield,b78 3tj,male,
Q18530939-6,Q18530939,vqughan cornish,vqughan cornish,vqughan,cornish,1862-01-01,lichfield,b78 3tw,male,
Q18530939-7,Q18530939,vqughan cornish,vqughan cornish,vqughan,cornish,1862-01-01,lichfield,b78 3tw,male,
Q18530939-8,Q18530939,baughan cornish,baughan cornish,baughan,cornish,1863-01-01,lichfield,,male,
Q18530939-9,Q18530939,vaughan cornish,vaughan cornish,vaughan,cornish,1862-01-01,lichfield,b78 3tw,male,
Q18530939-10,Q18530939,vaughan cornish,vaughan cornish,vaughan,cornish,1862-01-01,lichfield,b78 3tn,male,
Q18530939-11,Q18530939,vwughan cornish,vwughan cornish,vwughan,cornish,1862-01-01,lichfield,b78 3tw,male,
Q18530939-12,Q18530939,vaughan cornish,vaughan cornish,vaughan,cornish,1862-11-01,lichfield,b78 3tw,male,
Q18530939-13,Q18530939,gaughan cornish,gaughan cornish,gaughan,cornish,,lichfield,,male,
Q18530939-14,Q18530939,va8ghan cornish,va8ghan cornish,va8ghan,cornish,1862-01-01,drayton bassett,,male,
Q18530939-15,Q18530939,vauvhan cornish,vauvhan cornish,vauvhan,cornish,,lichfield,cv36 5hb,,
Q18530939-16,Q18530939,vaughan cornish,vaughan cornish,vaughan,cornish,1862-01-01,,b78 3lf,male,
Q18530939-17,Q18530939,vsughan cornish,vsughan cornish,vsughan,cornish,,,b78 3lf,,
Q18530939-18,Q18530939,vaughan cormish,vaughan cormish,vaughan,cormish,1862-01-11,lichfield,,,
Q18530939-19,Q18530939,vaughan cirnish,vaughan cirnish,vaughan,cirnish,,lichfield,b78 3tw,,
Q18530939-20,Q18530939,vaighan cornish,vaighan cornish,vaighan,cornish,1862-01-01,,b78 3tw,male,
Q18530939-21,Q18530939,vaughan fornish,vaughan fornish,vaughan,fornish,1882-01-01,lichfield,,,
Q5537791-1,Q5537791,george chalmers,george chalmers,george,chalmers,1720-01-01,edinburgh,eh2 2ah,male,painter
Q5537791-2,Q5537791,sir chalmers,sir chalmers,sir,chalmers,1720-01-01,edinburgh,eh2 2ah,male,painter
Q5537791-3,Q5537791,george chalmers,george chalmers,george,chalmers,1720-01-01,edinburgh,eh2 2ah,male,painter
